year,name,mileage,transmission,price,city
2017,Datsun GO,22500,Manual,99000000,Kalimantan Barat
2017,Daihatsu Ayla,32500,Automatic,105000000,Jawa Timur
2017,Toyota Avanza,62500,Manual,127000777,Jawa Timur
2016,BMW X1,22500,Automatic,400000000,DKI Jakarta
2008,Toyota Kijang Innova,122500,Manual,107000000,DKI Jakarta
2018,Mitsubishi Pajero Sport,72500,Automatic,425000000,Jawa Timur
2017,Toyota Avanza,62500,Manual,127000777,Jawa Timur
2020,BMW 330i,10000,Automatic,925000000,DKI Jakarta
2016,Toyota Etios Valco,62500,Manual,108000777,Jawa Timur
2011,Suzuki Swift,42000,Manual,125000000,Jawa Timur
2016,Toyota Etios Valco,62500,Manual,108000777,Jawa Timur
2004,Hyundai Accent,52000,Manual,60000000,Jawa Timur
2015,Daihatsu Sirion,162500,Manual,112000000,Jawa Timur
2008,Honda Accord,56000,Automatic,135000000,Jawa Timur
2015,Toyota Etios Valco,147500,Manual,90000777,Jawa Timur
2003,Honda Stream,129000,Automatic,85000000,Jawa Timur
2009,Nissan X-Trail,132500,Automatic,96000000,DKI Jakarta
2015,Toyota Etios Valco,147500,Manual,90000777,Jawa Timur
2018,Mercedes-Benz GLE400,8500,Automatic,1055000000,DKI Jakarta
2020,Toyota Kijang Innova,27500,Automatic,385000777,Jawa Timur
2018,Suzuki APV,27500,Manual,119000000,Jawa Timur
2020,Toyota Kijang Innova,27500,Automatic,385000777,Jawa Timur
2012,Volkswagen Golf,67500,Automatic,124000000,DKI Jakarta
2007,Toyota Yaris,87500,Manual,94000000,Jawa Timur
2013,Toyota Fortuner,132500,Automatic,258000777,Jawa Timur
2018,Honda Brio,25000,Manual,123000001,Jawa Timur
2018,Honda HR-V,7500,Automatic,245000000,DKI Jakarta
2018,Honda Brio,25000,Manual,123000001,Jawa Timur
2015,BMW X1,22500,Automatic,340000000,DKI Jakarta
2018,Suzuki Ertiga,52500,Automatic,179000000,Jawa Timur
2018,Toyota Kijang Innova,25000,Manual,319000001,Jawa Timur
2015,Honda Mobilio,71000,Automatic,133000000,Jawa Timur
2013,Toyota Fortuner,132500,Automatic,258000777,Jawa Timur
2015,Toyota Yaris,33500,Automatic,160000000,Jawa Barat
2015,Honda Civic,77500,Automatic,179000000,DKI Jakarta
